Unnamed: 1,単語,意味,フレーズ,訳,英作問題,和訳問題,Unnamed: 8
,follow,に従う,follow her advice,彼女の助言に従う,(    ) her advice,彼女の助言(    ),
,consider,を考える,consider the problem seriously,真剣にその問題を考える,(    ) the problem seriously,真剣にその問題(    ),
,increase,増加する,increase by 20%,20%増加する,(    ) by 20%,20%(    ),
,expect,を予期する,expect you to arrive soon,君がすぐ来ることを予期する,(    ) you to arrive soon,君がすぐ来ること(    ),
,decide,決意をする,decide to tell the truth,真実を語る決意をする,(    ) to tell the truth,真実を語る(    ),
,develop,を発達させる,develop a unique ability,特異な能力を発達させる,(    ) a unique ability,特異な能力(    ),
,provide,を与える,provide him with information,彼に情報を与える,(    ) him with information,彼に情報(    ),
,continue,続ける,continue to grow fast,急速に成長し続ける,(    ) to grow fast,急速に成長し(    ),
,include,を含んでいる,The list includes his name.,リストは彼の名前を含んでいる,The list (    ) his name.,リストは彼の名前(    ),
,remain,ままでいる,remain silent,黙ったままでいる,(    ) silent,黙った(    ),
,reach,に達する,reach the mountain top,山頂に達する,(    ) the mountain top,山頂(    ),
,allow,を許可する,allow him to go out,彼に外出を許可する,(    ) him to go out,彼に外出(    ),
,force,強制される,be forced to work,働くよう強制される,be (    ) to work,働くよう(    ),
,offer,を申し出る,offer help to the poor,貧しい人に援助を申し出る,(    ) help to the poor,貧しい人に援助(    ),
,realize,を悟る,realize the error,間違いを悟る,(    ) the error,間違い(    ),
,suggest,を提案する,suggest a new way,新しいやり方を提案する,(    ) a new way,新しいやり方(    ),
,require,を必要とする,require more attention,もっと注意を必要とする,(    ) more attention,もっと注意(    ),
,worry,心配する,worry about money,お金のことを心配する,(    ) about money,お金のことを(    ),
,wonder,かと思う,wonder where he has gone,彼はどこに行ったのかと思う,(    ) where he has gone,彼はどこに行ったの(    ),
,cost,かかった,"The car cost me $50,000.",その車には5万ドルかかった,"The car (    ) me $50,000.",その車には5万ドル(    ),
,tend,がちである,tend to get angry,腹を立てがちである,(    ) to get angry,腹を立て(    ),
,depend,しだいだ,Everything depends on him.,すべては彼しだいだ,Everything (    ) on him.,すべては彼(    ),
,share,を共有する,share a room with a friend,友人と部屋を共有する,(    ) a room with a friend,友人と部屋(    ),
,demand,を要求する,demand more freedom,もっと自由を要求する,(    ) more freedom,もっと自由(    ),
,support,を支持する,support the President,大統領を支持する,(    ) the President,大統領(    ),
,hire,を雇う,hire many young people,多くの若者を雇う,(    ) many young people,多くの若者(    ),
,regard,とみなす,regard him as a friend,彼を友達とみなす,(    ) him as a friend,彼を友達(    ),
,base,に基づいている,This story is based on fact.,この話は事実に基づいている,This story is (    ) on fact.,この話は事実(    ),
,improve,を向上させる,improve living conditions,生活状態を向上させる,(    ) living conditions,生活状態(    ),
,recognize,を認める,recognize the importance,重要性を認める,(    ) the importance,重要性(    ),
